id,created_at,name,numSlic,alphaSlic,street,city,state,zip,instructions
152,2023-11-15 05:22:30.687119+00,Smooth On,18SMN,SMNPA,5600 Lower Macungie Rd,Macungie,PA,18062,
153,2023-11-15 05:22:30.687119+00,Shipmonk,18SP,SPMPA,285 Centerpoint Blvd,Pittston,PA,18640,
154,2023-11-15 05:22:30.687119+00,Shiphero,18SPH,SPHPA,6736 Tilghman St,Allentown,PA,18106,
155,2023-11-15 05:22:30.687119+00,Spreetail,18SPR,SPEPA,250 Tradeport Rd,Nanticoke,PA,18634,
156,2023-11-15 05:22:30.687119+00,Smart Warehouse,18SS,SWSPA,6461 Snowdrift Rd,Allentown,PA,18106,
157,2023-11-15 05:22:30.687119+00,Surefit,18SU,SURPA,8000 Quarry Rd,Alburtis,PA,18011,
158,2023-11-15 05:22:30.687119+00,Supply Technologies,18SUT,SUTPA,7520 Morris Ct,Allentown,PA,18106,
159,2023-11-15 05:22:30.687119+00,Safavieh Furniture,18SV,SAVPA,2100 Spring Garden St,Easton,PA,18042,
160,2023-11-15 05:22:30.687119+00,Smart Warehouse,18SW,SMWPA,2300 Liberty Dr,Northampton,PA,18067,
161,2023-11-15 05:22:30.687119+00,S Walter,18SWT,SWTPA,336 Logistics Dr,Shoemakersville,PA,19555,
162,2023-11-15 05:22:30.687119+00,Tagg Logistics,18TA,TAGPA,2918 Schoeneck Rd,Macungie,PA,18062,
163,2023-11-15 05:22:30.687119+00,Target,18TAA,TA1PA,912 Airport Center Dr,Allentown,PA,18109,
164,2023-11-15 05:22:30.687119+00,Tridim,18TDM,TDMPA,6370 Hedgewood Dr,Allentown,PA,18106,
165,2023-11-15 05:22:30.687119+00,Big Time,18TE,BTEPA,630 Municipal Dr,Nazareth,PA,18064,
166,2023-11-15 05:22:30.687119+00,Tesla,18TES,TESPA,5210 Jaindl Blvd,Bethlehem,PA,18017,
167,2023-11-15 05:22:30.687119+00,Thermal Fisher,18TF,THEPA,6771 Silver Crest Rd,Nazareth,PA,18064,
168,2023-11-15 05:22:30.687119+00,Target,18TGA,TGAPA,1600 N Cedar Crest Blvd,Allentown,PA,18104,
169,2023-11-15 05:22:30.687119+00,Target,18TGK,TGKPA,749 N Krocks Rd,Allentown,PA,18106,
170,2023-11-15 05:22:30.687119+00,The Paige Company,18TPC,TPCPA,191 Industrial Park Dr,Mount Pocono,PA,18344,
171,2023-11-15 05:22:30.687119+00,TSW Tires,18TSW,TSWPA,4650 E Braden Blvd,Easton,PA,18040,
